role1	role2	genomes
Iron-sulfur cluster assembly protein SufD	PaaD-like protein (DUF59) involved in Fe-S cluster assembly	2490941.3,2605989.3,583355.3,2183990.3,2023178.18,2069310.3,2200854.3,479434.6,479430.3,1294039.3,454171.5,1647103.3,1947784.3,1884905.18,1946934.3,59196.3,2003555.3,2024841.10,1548207.7,481448.7,926550.5,2702.133,376620.10,754252.34
Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	Cell division protein FtsL	1121447.3,557993.3,583355.3,1491.958,1737569.3,716544.4,1521403.3,349741.6,572547.3,525904.6,1294039.3,1647103.3,1947784.3,521095.6,59196.3,203907.6,795359.3,525909.11,481448.7,2702.133,754252.34,266117.10,1639.4260,813.178,608534.3,727.1550,926569.3,445932.6,1260.19,479434.6,1123388.3,518.42,394503.7,454171.5,1437881.3,456827.3,1560006.3,376620.10,679936.5
Inner membrane protein translocase and chaperone YidC, long form	RNA-binding protein Jag	1121447.3,2023178.18,445932.6,1919250.3,210.5028,1123388.3,159.151,1408417.3,454171.5,126741.4,795359.3,1560006.3,1946798.3,137778.5
Aspartokinase (EC 2.7.2.4)	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	2183990.3,572547.3,374847.13,263820.9,309798.4,525904.6,1294039.3,521095.6,1805053.3,379066.3,525909.11,272844.11,2702.133,1121911.3,1947072.3,339860.19,266117.10,1639.4260,813.178,444157.8,926569.3,2069310.3,445932.6,1002870.3,1946294.3,479430.3,1946269.3,938289.3,126741.4,1391995.3,166793.3,1884905.18,2003555.3,1560006.3,397948.10,1946522.3,1435377.6,679936.5
Cell division protein FtsA	Cell division protein FtsZ	1121447.3,2490941.3,557993.3,247481.57,1882918.15,1737569.3,2200854.3,572547.3,1970770.3,210.5028,157176.8,525904.6,36868.4,1432327.4,1704307.4,1805053.3,59196.3,795359.3,2024841.10,1306947.3,137778.5,1241833.3,1961371.3,266117.10,1639.4260,926569.3,445932.6,479434.6,1123388.3,518.42,394503.7,454171.5,1560006.3,1972134.3,376620.10,583355.3,1491.958,2023178.18,349741.6,2597224.3,673862.3,1408281.4,2067454.3,1647103.3,1947784.3,489703.3,190304.8,1946934.3,1749045.3,203907.6,428411.4,481448.7,1947072.3,727.1550,1423720.4,1332188.3,1079.16,1919250.3,1945871.3,1437881.3,126741.4,456827.3,59620.1701,926550.5,166.4,1715285.3,679936.5
Membrane-associated zinc metalloprotease	Ribosome recycling factor	608534.3,1491.958,1423720.4,1737569.3,2023178.18,2069310.3,1408281.4,1945871.3,1432327.4,938289.3,521095.6,379066.3,166.4,1121911.3,679936.5
Cell division protein FtsA	Cell division protein FtsQ	1121447.3,583355.3,1737569.3,2023178.18,572547.3,1408281.4,525904.6,2067454.3,1647103.3,1947784.3,190304.8,379066.3,59196.3,1749045.3,203907.6,795359.3,2024841.10,481448.7,266117.10,1639.4260,727.1550,926569.3,445932.6,1919250.3,479434.6,518.42,394503.7,454171.5,1437881.3,456827.3,376620.10
tRNA-Leu	tRNA-Pro	1639.4260,2605989.3,1609969.5,1491.958,1805053.3,1262806.3,1423720.4,980251.5,1121911.3,295596.4
Phosphate ABC transporter, ATP-binding protein PstB (TC 3.A.1.7.1)	Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)	2490941.3,2183990.3,1737569.3,980251.5,1521403.3,572547.3,2030824.4,157176.8,525904.6,159.151,1294039.3,1408417.3,1704307.4,1609969.5,1805053.3,795359.3,137778.5,754252.34,1121911.3,266117.10,1639.4260,2605989.3,608534.3,64091.14,28227.8,926569.3,2069310.3,41978.26,1002870.3,1260.19,479434.6,479430.3,1123388.3,518.42,454171.5,1391995.3,1884905.18,1560006.3,1946798.3,1435377.6,376620.10,406327.12,583355.3,1491.958,349741.6,436308.17,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,489703.3,379066.3,481448.7,272844.11,2702.133,1318617.4,1947072.3,339860.19,444157.8,727.1550,1423720.4,1408467.3,2162266.3,1919250.3,1945871.3,1437881.3,938289.3,126741.4,166793.3,1548207.7,1946522.3,926550.5,166.4,243273.25,295596.4,679936.5
Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4)	Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	2490941.3,2605989.3,583355.3,716544.4,980251.5,2023178.18,1079.16,1919250.3,1123388.3,518.42,1437881.3,1647103.3,489703.3,379066.3,2024841.10,1206109.5,1548207.7,481448.7
GTP-binding and nucleic acid-binding protein YchF	LSU ribosomal protein L25p	1437881.3,1647103.3,489703.3,1946934.3,59196.3,2024841.10,2597224.3,376620.10,157176.8,518.42
[LysW]-aminoadipate kinase	[LysW]-gamma-glutamyl-phosphate reductase	444157.8,926569.3,397948.10,436308.17,272844.11,374847.13,1435377.6,479434.6,263820.9,525904.6
SSU ribosomal protein S11p (S14e)	SSU ribosomal protein S4p (S9e), zinc-independent	557993.3,247481.57,583355.3,1737569.3,2023178.18,2200854.3,349741.6,1946283.3,1970770.3,210.5028,655811.4,2067454.3,36868.4,1432327.4,1704307.4,489703.3,521095.6,190304.8,59196.3,1749045.3,203907.6,1946251.3,1206109.5,428411.4,137778.5,481448.7,754252.34,1241833.3,1961371.3,266117.10,608534.3,727.1550,41978.26,445932.6,1332188.3,1260.19,1919250.3,518.42,1946269.3,1971488.3,454171.5,1437881.3,938289.3,1719125.3,456827.3,1548207.7,1972134.3,1715285.3
Amino acid-binding ACT	Coenzyme A ligase	1121447.3,406327.12,795359.3,1946798.3,41978.26,349307.15,1577791.3,1408281.4,339860.19,394503.7
Hydrolase (HAD superfamily), YqeK	Ribosomal silencing factor RsfA	1639.4260,608534.3,1423720.4,1737569.3,1521403.3,2023178.18,41978.26,445932.6,1260.19,1919250.3,1123388.3,655811.4,394503.7,521095.6,796939.3,1121911.3,679936.5
tRNA-Leu	tRNA-Thr	1639.4260,2605989.3,1262806.3,1423720.4,28227.8,980251.5,1260.19,2702.133,1121911.3,2100.35,295596.4,2601646.3
LSU rRNA	tRNA-Ala-TGC	406327.12,583355.3,716544.4,349741.6,572547.3,673862.3,157176.8,309798.4,525904.6,1408417.3,1704307.4,190304.8,59196.3,796939.3,1749045.3,795359.3,1306947.3,481448.7,272844.11,339860.19,64091.14,727.1550,926569.3,445932.6,1332188.3,2162266.3,479434.6,394503.7,1437881.3,456827.3,349307.15,37692.4,376620.10
Inner membrane protein translocase and chaperone YidC, short form OxaI-like	RNA-binding protein Jag	2183990.3,1491.958,1521403.3,572547.3,309798.4,525904.6,655811.4,1294039.3,521095.6,190304.8,796939.3,1946251.3,525909.11,2702.133,754252.34,1121911.3,266117.10,1639.4260,608534.3,926569.3,2069310.3,41978.26,1260.19,479434.6,479430.3,394503.7,1391995.3,1884905.18,2003555.3,1946522.3,926550.5
16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176)	Ribosome small subunit biogenesis RbfA-release protein RsgA	1639.4260,608534.3,1491.958,1423720.4,1260.19,1946283.3,655811.4,394503.7,938289.3,1946798.3,1121911.3,1947072.3,679936.5
Protein translocase subunit SecY	SSU ribosomal protein S3p (S3e)	1121447.3,1491.958,716544.4,572547.3,2597224.3,210.5028,673862.3,309798.4,655811.4,36868.4,1408417.3,1432327.4,1609969.5,1805053.3,796939.3,1749045.3,1946251.3,428411.4,525909.11,137778.5,1121911.3,2605989.3,813.178,1262806.3,1423720.4,28227.8,1401685.3,41978.26,1260.19,1919250.3,1123388.3,1945871.3,1946269.3,1971488.3,163164.29,938289.3,1719125.3,126741.4,456827.3,1972134.3,166.4,2100.35,679936.5
LSU ribosomal protein L14p (L23e)	Protein translocase subunit SecY	1121447.3,2490941.3,247481.57,1882918.15,980251.5,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,163164.29,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,1946269.3,1971488.3,938289.3,1719125.3,59620.1701,1548207.7,1946522.3,926550.5,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,1206109.5,1121911.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,1123388.3,518.42,1560006.3,1972134.3,376620.10,295320.3,583355.3,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1919250.3,1946294.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,679936.5
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	Translation elongation factor Ts	557993.3,1491.958,1737569.3,2023178.18,2597224.3,1408281.4,309798.4,36868.4,1647103.3,489703.3,521095.6,1805053.3,1946934.3,379066.3,59196.3,203907.6,1946251.3,2024841.10,428411.4,525909.11,754252.34,1121911.3,266117.10,2069310.3,1002870.3,1408467.3,479434.6,1123388.3,518.42,1945871.3,394503.7,454171.5,1437881.3,1719125.3,2003555.3,1946798.3,1946522.3,1715285.3,679936.5
LSU ribosomal protein L36p	SSU ribosomal protein S14p (S29e), zinc-independent	557993.3,813.178,727.1550,716544.4,518.42,36868.4,59196.3,1749045.3,203907.6,1206109.5,428411.4,37692.4,1972134.3,1715285.3,1972133.3,295320.3,1241833.3
tRNA-Leu	tRNA-Ser	1639.4260,1704307.4,2099.43,126741.4,1262806.3,1423720.4,980251.5,1260.19,137778.5,2100.35,295596.4
ABC transporter, ATP-binding protein (cluster 9, phospholipid)	ABC transporter, permease protein (cluster 9, phospholipid)	1121447.3,2023178.18,1079.16,157176.8,518.42,2067454.3,1437881.3,1647103.3,456827.3,59196.3,137778.5,1548207.7,376620.10
LSU ribosomal protein L7p/L12p (P1/P2)	Protein translocase subunit SecE	1121447.3,2490941.3,557993.3,1737569.3,980251.5,1521403.3,572547.3,210.5028,157176.8,309798.4,525904.6,159.151,36868.4,1294039.3,521095.6,59196.3,795359.3,1206109.5,525909.11,137778.5,266117.10,1639.4260,608534.3,926569.3,1260.19,479434.6,479430.3,1123388.3,518.42,394503.7,163164.29,1884905.18,583355.3,1491.958,716544.4,2023178.18,349741.6,655811.4,1947784.3,190304.8,379066.3,203907.6,481448.7,813.178,2162266.3,1919250.3,1945871.3,1437881.3,126741.4,456827.3,1548207.7
LSU ribosomal protein L10p (P0)	Protein translocase subunit SecE	1121447.3,2490941.3,557993.3,1737569.3,980251.5,1521403.3,572547.3,210.5028,309798.4,525904.6,159.151,36868.4,1294039.3,521095.6,59196.3,795359.3,1206109.5,525909.11,137778.5,266117.10,1639.4260,608534.3,926569.3,1260.19,479434.6,479430.3,1123388.3,518.42,394503.7,163164.29,1884905.18,583355.3,1491.958,716544.4,2023178.18,349741.6,655811.4,1947784.3,190304.8,379066.3,203907.6,481448.7,813.178,2162266.3,1919250.3,1945871.3,1437881.3,126741.4,456827.3,1548207.7
Protein translocase subunit SecY	SSU ribosomal protein S4p (S9e)	1121447.3,557993.3,247481.57,1882918.15,1737569.3,2200854.3,572547.3,1970770.3,210.5028,157176.8,309798.4,159.151,36868.4,1704307.4,1609969.5,521095.6,1805053.3,59196.3,795359.3,1206109.5,525909.11,1306947.3,754252.34,1121911.3,1241833.3,1961371.3,266117.10,608534.3,926569.3,41978.26,445932.6,1002870.3,479434.6,479430.3,1123388.3,518.42,394503.7,454171.5,1884905.18,2003555.3,1560006.3,1946798.3,1972134.3,583355.3,1491.958,2023178.18,1946283.3,2597224.3,673862.3,1408281.4,655811.4,2067454.3,489703.3,1749045.3,203907.6,428411.4,1947072.3,727.1550,1332188.3,1919250.3,1946294.3,1946269.3,1971488.3,1437881.3,938289.3,1719125.3,126741.4,456827.3,1548207.7,1946522.3,926550.5,166.4,1715285.3,679936.5
3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	813.178,444157.8,926569.3,716544.4,1260.19,436308.17,263820.9,525904.6,655811.4,521095.6,126741.4,796939.3,795359.3,1946798.3,926550.5,1577791.3,1435377.6,1121911.3
16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	557993.3,2023178.18,1946283.3,1408281.4,309798.4,525904.6,655811.4,36868.4,1294039.3,1704307.4,1947784.3,489703.3,521095.6,1805053.3,1946934.3,796939.3,1749045.3,795359.3,428411.4,525909.11,1121911.3,266117.10,1639.4260,608534.3,1423720.4,926569.3,445932.6,1332188.3,1002870.3,1260.19,1919250.3,1946294.3,479434.6,1123388.3,518.42,1971488.3,938289.3,1719125.3,1946522.3,926550.5,1972134.3,166.4,1715285.3
Cell division protein FtsZ	D-alanine--D-alanine ligase (EC 6.3.2.4)	2490941.3,557993.3,583355.3,1408281.4,157176.8,309798.4,525904.6,1704307.4,1647103.3,489703.3,1805053.3,190304.8,1946934.3,2024841.10,428411.4,481448.7,727.1550,926569.3,2162266.3,479434.6,518.42,454171.5,1437881.3,926550.5,376620.10,1715285.3
DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)	S-adenosylmethionine synthetase (EC 2.5.1.6)	1294039.3,2183990.3,1884905.18,2003555.3,2069310.3,525909.11,2702.133,479430.3,754252.34,266117.10
LSU ribosomal protein L6p (L9e)	SSU ribosomal protein S4p (S9e), zinc-independent	557993.3,247481.57,583355.3,2023178.18,2200854.3,1970770.3,210.5028,655811.4,36868.4,489703.3,59196.3,1749045.3,203907.6,1206109.5,428411.4,1241833.3,727.1550,518.42,1971488.3,1437881.3,938289.3,1719125.3,456827.3,1972134.3,1715285.3
LSU ribosomal protein L24p (L26e)	LSU ribosomal protein L36p, zinc-dependent	2605989.3,557993.3,727.1550,59196.3,203907.6,428411.4,1715285.3,1241833.3,518.42,159.151,36868.4
CBS domain	GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2)	1121447.3,1491.958,727.1550,349741.6,1002870.3,1260.19,2597224.3,309798.4,518.42,36868.4,1294039.3,1437881.3,1719125.3,1884905.18,59196.3,203907.6,428411.4,1318617.4,166.4,1715285.3,1121911.3
Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)	Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), synthase subunit (EC 4.3.3.6)	1294039.3,2183990.3,1805053.3,1884905.18,2003555.3,525909.11,1002870.3,1946522.3,479430.3,266117.10
LSU ribosomal protein L7p/L12p (P1/P2)	Transcription antitermination protein NusG	1121447.3,2490941.3,557993.3,1882918.15,1737569.3,980251.5,1521403.3,2200854.3,572547.3,210.5028,157176.8,309798.4,525904.6,159.151,36868.4,1294039.3,1609969.5,521095.6,1805053.3,59196.3,795359.3,1206109.5,525909.11,1306947.3,137778.5,1121911.3,1241833.3,266117.10,1639.4260,2605989.3,608534.3,1262806.3,926569.3,1002870.3,1260.19,479434.6,479430.3,1123388.3,518.42,394503.7,163164.29,1884905.18,2003555.3,1946798.3,37692.4,1972134.3,583355.3,1491.958,716544.4,2023178.18,349741.6,2597224.3,673862.3,655811.4,1947784.3,190304.8,379066.3,796939.3,1749045.3,203907.6,428411.4,481448.7,813.178,1423720.4,2162266.3,1919250.3,1945871.3,1437881.3,938289.3,1719125.3,126741.4,166793.3,456827.3,59620.1701,1548207.7,1946522.3,926550.5,1715285.3,295596.4
UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase (EC 6.3.2.9)	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)	1121447.3,583355.3,926569.3,2200854.3,349741.6,572547.3,1002870.3,1079.16,1919250.3,1123388.3,157176.8,525904.6,1647103.3,489703.3,521095.6,190304.8,1946934.3,59196.3,795359.3,525909.11,1548207.7,376620.10
Excinuclease ABC subunit C	FIG002813: LPPG:FO 2-phospho-L-lactate transferase like, CofD-like	1391995.3,1491.958,1884905.18,2003555.3,2069310.3,525909.11,1946522.3,479430.3,754252.34,266117.10
Sulfur carrier protein ThiS	Thiazole synthase (EC 2.8.1.10)	1121447.3,2605989.3,583355.3,1491.958,1260.19,479434.6,479430.3,1123388.3,157176.8,655811.4,454171.5,1437881.3,190304.8,525909.11,2702.133,754252.34,679936.5
Protein translocase subunit SecY	SSU ribosomal protein S5p (S2e)	1121447.3,2490941.3,247481.57,1882918.15,980251.5,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,1946269.3,1971488.3,938289.3,1719125.3,59620.1701,1548207.7,1946522.3,926550.5,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,1206109.5,1121911.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,518.42,1560006.3,1972134.3,376620.10,295320.3,583355.3,349741.6,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1079.16,1919250.3,1946294.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,679936.5
Flagellar basal-body rod protein FlgB	Flagellum-specific ATP synthase FliI	1121447.3,1639.4260,2605989.3,2183990.3,1491.958,1002870.3,479434.6,309798.4,394503.7,454171.5,166793.3,796939.3,795359.3,1946798.3,525909.11,166.4,1121911.3,679936.5
Methionyl-tRNA formyltransferase (EC 2.1.2.9)	Protein serine/threonine phosphatase PrpC, regulation of stationary phase	1639.4260,608534.3,938289.3,1491.958,1423720.4,1946798.3,1260.19,1121911.3,655811.4,679936.5,394503.7
ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)	Cell division trigger factor (EC 5.2.1.8)	1121447.3,557993.3,1882918.15,2183990.3,1521403.3,2200854.3,572547.3,210.5028,157176.8,309798.4,525904.6,159.151,36868.4,1294039.3,1609969.5,521095.6,59196.3,2024841.10,525909.11,754252.34,1121911.3,266117.10,608534.3,926569.3,2069310.3,41978.26,1002870.3,1260.19,479434.6,479430.3,1123388.3,518.42,394503.7,454171.5,163164.29,1391995.3,1884905.18,2003555.3,1560006.3,1946798.3,376620.10,583355.3,1491.958,716544.4,2023178.18,349741.6,1946283.3,2597224.3,655811.4,1647103.3,1947784.3,489703.3,190304.8,1946934.3,379066.3,796939.3,1749045.3,1946251.3,481448.7,2702.133,813.178,727.1550,1332188.3,2162266.3,1079.16,1919250.3,1946294.3,1945871.3,1946269.3,1437881.3,938289.3,126741.4,166793.3,456827.3,59620.1701,1548207.7,926550.5,166.4,679936.5
